employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,awards_won?,avg_training_score,is_promoted
53497,Technology,region_26,Bachelor's,m,other,2,27,3.0,1,0,77,0
50820,Operations,region_27,Bachelor's,m,other,1,35,5.0,10,0,60,1
4740,Analytics,region_2,Bachelor's,m,other,3,26,3.0,2,0,82,0
15361,Technology,region_14,Bachelor's,f,other,1,27,4.0,3,0,76,0
67925,Analytics,region_28,Master's & above,m,other,1,32,3.0,7,0,83,0
23783,Analytics,region_7,Bachelor's,m,sourcing,2,36,3.0,3,0,81,0
71048,Sales & Marketing,region_7,Master's & above,f,other,1,32,3.0,9,0,48,0
4853,HR,region_2,Bachelor's,m,sourcing,1,27,3.0,4,0,54,0
66446,Sales & Marketing,region_11,Bachelor's,m,sourcing,2,29,1.0,6,0,49,0
24812,Analytics,region_7,Bachelor's,m,other,1,31,5.0,1,0,86,0
25581,Analytics,region_6,Bachelor's,f,other,1,32,3.0,8,0,86,0
44824,Operations,region_2,Bachelor's,f,other,1,44,5.0,7,0,60,0
51694,Procurement,region_14,Bachelor's,f,other,1,32,3.0,2,0,74,0
22080,Procurement,region_7,Bachelor's,f,other,1,40,4.0,9,0,67,0
26885,Sales & Marketing,region_16,Bachelor's,m,other,1,41,5.0,3,0,48,1
38467,Sales & Marketing,region_22,,m,other,2,31,4.0,5,0,46,0
8510,Operations,region_22,Master's & above,f,sourcing,1,46,4.0,5,0,62,1
59999,Operations,region_2,Bachelor's,f,sourcing,1,55,3.0,3,0,58,0
54261,Sales & Marketing,region_29,Bachelor's,m,sourcing,1,31,3.0,7,0,51,0
5857,Operations,region_22,Bachelor's,f,sourcing,1,33,5.0,8,0,61,0
9006,R&D,region_13,Master's & above,m,other,2,37,5.0,4,0,90,0
56695,Sales & Marketing,region_10,Master's & above,m,sourcing,1,35,3.0,10,0,52,0
45821,Analytics,region_13,Bachelor's,m,other,1,27,3.0,3,0,87,0
15973,Sales & Marketing,region_31,Bachelor's,m,other,1,29,2.0,6,0,53,0
62756,Technology,region_27,Bachelor's,m,sourcing,1,36,3.0,5,0,81,0
13355,Sales & Marketing,region_2,Bachelor's,m,sourcing,3,38,3.0,7,1,49,0
17118,Operations,region_17,Bachelor's,f,sourcing,1,31,1.0,3,0,54,0
53374,Operations,region_2,Master's & above,m,sourcing,1,56,5.0,14,0,61,0
57460,Operations,region_27,Below Secondary,f,sourcing,1,23,3.0,2,0,55,0
57049,Sales & Marketing,region_9,Master's & above,f,sourcing,1,32,3.0,4,0,48,0
4960,Sales & Marketing,region_15,Bachelor's,m,other,1,29,5.0,5,0,54,0
4411,Operations,region_11,Master's & above,f,sourcing,1,40,3.0,11,0,64,0
25173,Procurement,region_31,Bachelor's,m,other,2,27,3.0,3,0,70,0
72702,Sales & Marketing,region_9,Master's & above,m,other,1,29,1.0,3,0,45,0
19403,Sales & Marketing,region_17,Bachelor's,m,other,1,29,1.0,5,0,48,0
1160,Analytics,region_22,Master's & above,m,sourcing,1,30,5.0,7,0,84,0
69318,Operations,region_22,Master's & above,f,sourcing,2,42,4.0,3,0,55,0
47101,Sales & Marketing,region_28,Master's & above,m,other,1,39,5.0,12,0,47,0
60819,Technology,region_2,Bachelor's,m,other,1,40,2.0,4,1,80,0
68581,Operations,region_1,Bachelor's,m,other,1,28,3.0,5,0,59,0
17910,Analytics,region_7,Bachelor's,m,sourcing,1,36,3.0,5,0,85,0
5637,Analytics,region_2,Bachelor's,m,sourcing,1,40,3.0,10,0,87,0
75534,Sales & Marketing,region_2,Master's & above,m,sourcing,2,31,3.0,6,0,52,0
40961,HR,region_2,Master's & above,f,other,1,33,5.0,5,0,52,0
16443,HR,region_2,Below Secondary,m,sourcing,1,23,5.0,2,0,50,0
25272,Sales & Marketing,region_7,Bachelor's,m,sourcing,2,41,4.0,13,0,45,0
67267,HR,region_23,Bachelor's,m,other,1,29,3.0,7,0,49,0
54067,Analytics,region_29,Master's & above,m,sourcing,1,41,1.0,10,0,88,0
18375,Finance,region_7,Bachelor's,m,other,1,31,5.0,7,0,62,0
3386,Sales & Marketing,region_28,Bachelor's,m,sourcing,1,42,3.0,12,0,48,0
37747,Sales & Marketing,region_10,Bachelor's,m,other,1,29,1.0,4,0,50,0
40200,Analytics,region_20,Bachelor's,m,other,1,28,3.0,5,0,87,0
4439,Operations,region_22,Master's & above,f,other,1,57,5.0,15,0,64,0
58852,Sales & Marketing,region_32,,m,sourcing,1,26,1.0,3,0,49,0
1062,Technology,region_10,Bachelor's,f,other,1,29,3.0,2,0,83,0
19214,Technology,region_14,Master's & above,m,other,1,39,3.0,10,0,82,0
16334,Sales & Marketing,region_10,Bachelor's,m,sourcing,2,30,5.0,8,0,50,0
34080,Procurement,region_28,Master's & above,m,other,4,34,3.0,4,0,67,0
73377,Sales & Marketing,region_7,Bachelor's,f,other,1,36,1.0,9,0,51,0
10831,Operations,region_26,Master's & above,m,sourcing,1,47,5.0,15,0,61,0
17113,Technology,region_22,Master's & above,m,other,2,37,3.0,4,0,77,0
1048,Technology,region_4,Master's & above,m,other,1,39,1.0,10,0,77,0
72495,Operations,region_31,Bachelor's,m,sourcing,1,41,3.0,15,0,65,0
24790,Operations,region_2,Master's & above,f,sourcing,1,40,5.0,5,0,55,0
30724,Sales & Marketing,region_2,,m,sourcing,1,37,3.0,5,0,52,0
70231,Sales & Marketing,region_20,Bachelor's,m,sourcing,1,27,,1,0,49,0
76233,Sales & Marketing,region_15,,m,sourcing,1,39,4.0,7,0,51,0
17833,Analytics,region_4,Bachelor's,m,sourcing,1,28,,1,0,85,0
18476,Sales & Marketing,region_12,Bachelor's,f,sourcing,1,27,,1,1,98,1
66040,Procurement,region_4,Master's & above,m,sourcing,1,39,5.0,5,0,70,0
64522,Technology,region_2,Master's & above,f,other,2,41,3.0,13,0,79,0
55341,Analytics,region_7,Bachelor's,m,sourcing,2,28,3.0,3,0,86,0
15086,Operations,region_13,Bachelor's,f,sourcing,1,35,4.0,7,0,56,0
20978,Procurement,region_16,Bachelor's,m,other,1,36,3.0,4,0,71,0
14119,Sales & Marketing,region_7,Master's & above,f,sourcing,1,45,1.0,4,0,50,0
1005,Sales & Marketing,region_17,Bachelor's,m,sourcing,1,39,3.0,7,0,55,0
22456,Technology,region_17,Bachelor's,m,other,2,30,2.0,5,0,79,0
67973,Sales & Marketing,region_7,Master's & above,f,sourcing,1,33,3.0,7,0,48,0
28480,Procurement,region_13,Bachelor's,m,sourcing,1,28,3.0,5,0,71,0
21270,Sales & Marketing,region_28,,m,other,1,23,4.0,2,0,46,0
12824,Operations,region_27,Bachelor's,m,sourcing,1,27,2.0,2,0,60,0
52530,Procurement,region_26,Bachelor's,f,other,1,44,4.0,2,0,74,0
39676,Sales & Marketing,region_10,Bachelor's,m,other,1,42,1.0,7,0,48,0
16763,Sales & Marketing,region_31,Bachelor's,m,sourcing,1,40,4.0,2,0,51,0
10442,HR,region_2,Master's & above,f,referred,1,53,3.0,13,0,49,0
72554,Operations,region_19,Bachelor's,m,other,1,33,5.0,7,0,61,0
62370,Analytics,region_2,,f,other,1,24,,1,0,83,0
61245,Sales & Marketing,region_5,Bachelor's,f,sourcing,1,32,5.0,5,0,49,0
32713,Operations,region_4,Master's & above,f,other,1,39,3.0,7,0,62,0
2415,HR,region_2,Bachelor's,f,other,1,33,1.0,3,0,48,0
29697,Analytics,region_4,Bachelor's,m,other,1,30,5.0,4,0,88,0
17495,Operations,region_27,Bachelor's,f,other,1,33,2.0,5,0,59,0
38338,Procurement,region_19,Bachelor's,m,sourcing,1,38,1.0,7,0,72,0
43802,HR,region_22,Bachelor's,m,referred,1,30,4.0,4,0,53,0
21547,Analytics,region_23,Bachelor's,m,sourcing,3,29,2.0,6,0,86,0
71019,Operations,region_7,Bachelor's,f,other,1,39,5.0,3,0,65,0
47889,Procurement,region_2,Bachelor's,m,other,1,40,5.0,6,0,70,0
37969,Sales & Marketing,region_15,Bachelor's,m,sourcing,2,46,1.0,5,0,46,0
53293,Technology,region_22,Bachelor's,m,sourcing,1,27,,1,0,78,0
64246,Sales & Marketing,region_13,,m,sourcing,1,46,3.0,13,0,49,0
31803,Procurement,region_23,Bachelor's,f,sourcing,1,33,5.0,3,1,69,1
56782,Procurement,region_2,Bachelor's,m,sourcing,2,44,3.0,3,0,70,0
28948,Sales & Marketing,region_31,Bachelor's,m,sourcing,1,28,4.0,2,0,51,0
65055,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,52,5.0,22,0,46,0
36982,Analytics,region_32,Bachelor's,f,other,1,31,5.0,6,0,88,0
17586,Sales & Marketing,region_7,Bachelor's,m,other,1,41,5.0,6,0,48,0
5055,R&D,region_23,Master's & above,m,other,1,36,1.0,7,0,86,0
10045,Sales & Marketing,region_14,Bachelor's,m,other,1,31,4.0,2,0,54,0
57353,Operations,region_22,Bachelor's,m,other,2,34,3.0,7,0,58,0
76896,Sales & Marketing,region_4,Master's & above,f,sourcing,1,35,5.0,8,0,53,0
61055,HR,region_2,Master's & above,f,other,1,34,3.0,10,0,53,0
56414,Sales & Marketing,region_3,Bachelor's,m,other,1,34,3.0,6,0,48,0
22591,Sales & Marketing,region_22,Bachelor's,f,sourcing,1,28,3.0,5,0,53,0
38460,Finance,region_2,Below Secondary,f,other,1,24,,1,0,57,0
19147,Sales & Marketing,region_6,Bachelor's,m,sourcing,1,30,3.0,7,0,45,0
39226,Operations,region_2,Master's & above,m,other,1,57,3.0,3,0,63,0
64334,Operations,region_4,Master's & above,m,other,1,58,5.0,18,0,72,1
57548,Sales & Marketing,region_2,Master's & above,m,sourcing,1,35,4.0,10,0,47,0
5900,Operations,region_31,Bachelor's,m,sourcing,1,30,4.0,4,0,62,0
21431,Sales & Marketing,region_1,Master's & above,f,sourcing,1,32,4.0,5,0,49,0
50280,Sales & Marketing,region_2,Master's & above,m,referred,1,40,5.0,5,0,50,0
9448,Technology,region_1,Bachelor's,f,sourcing,1,28,,1,0,81,0
27737,Legal,region_13,Bachelor's,m,sourcing,1,27,,1,0,60,0
68067,Analytics,region_29,Bachelor's,m,sourcing,1,34,3.0,6,0,82,0
65213,Technology,region_27,Bachelor's,f,other,1,24,4.0,2,0,81,0
46829,Finance,region_2,Below Secondary,m,sourcing,2,23,5.0,2,0,58,0
9622,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,32,5.0,7,0,56,0
32688,Analytics,region_22,Bachelor's,f,other,2,29,5.0,3,0,84,0
35849,Sales & Marketing,region_13,Master's & above,f,other,1,32,4.0,5,0,48,0
76011,Procurement,region_9,Bachelor's,m,sourcing,3,29,1.0,2,0,69,0
35202,Procurement,region_17,Master's & above,f,sourcing,1,48,4.0,19,0,66,0
10835,HR,region_13,Master's & above,f,other,1,32,4.0,2,0,49,0
31817,Operations,region_22,Bachelor's,f,sourcing,1,29,5.0,2,0,59,0
61509,Sales & Marketing,region_18,Bachelor's,f,other,1,38,1.0,9,0,53,0
59941,R&D,region_22,Master's & above,m,sourcing,1,28,,1,0,85,1
71240,Operations,region_20,Bachelor's,f,other,1,31,4.0,9,0,61,0
62512,Sales & Marketing,region_2,Master's & above,m,sourcing,1,34,1.0,5,0,54,0
32076,Technology,region_16,Bachelor's,m,sourcing,1,29,3.0,5,0,81,0
19284,Finance,region_13,Master's & above,f,other,1,33,5.0,3,0,58,0
69412,Technology,region_2,Bachelor's,f,other,1,51,2.0,18,0,81,0
70227,Technology,region_2,Bachelor's,m,sourcing,1,51,2.0,16,0,76,0
35490,Operations,region_2,Bachelor's,m,other,1,28,2.0,5,0,52,0
74202,Operations,region_2,Bachelor's,f,other,2,38,5.0,10,0,61,0
34343,Sales & Marketing,region_13,Bachelor's,m,other,2,30,1.0,3,0,50,0
33426,Sales & Marketing,region_1,Master's & above,f,other,1,35,5.0,4,0,51,0
32265,Operations,region_2,Master's & above,m,other,1,40,2.0,4,0,91,1
57138,Sales & Marketing,region_22,Bachelor's,f,other,1,29,2.0,5,0,48,0
31328,Analytics,region_2,Master's & above,m,sourcing,1,42,3.0,11,0,86,0
68950,Sales & Marketing,region_19,Bachelor's,m,other,1,30,4.0,6,0,54,0
27738,Operations,region_15,Bachelor's,m,other,2,41,3.0,6,1,60,0
28937,Sales & Marketing,region_3,Bachelor's,m,sourcing,1,38,5.0,9,0,56,0
17884,Procurement,region_15,Bachelor's,m,sourcing,1,34,2.0,10,0,67,0
63308,Finance,region_2,Bachelor's,f,sourcing,1,27,4.0,3,0,61,0
60059,Procurement,region_2,Bachelor's,m,other,1,25,5.0,3,0,70,0
50074,R&D,region_16,Master's & above,m,other,2,33,3.0,4,0,80,0
5871,Operations,region_29,Bachelor's,m,other,1,29,,1,0,60,0
37409,Sales & Marketing,region_6,Bachelor's,m,other,1,36,1.0,4,0,52,0
32963,Analytics,region_22,Bachelor's,m,referred,2,28,5.0,4,0,80,1
27136,Sales & Marketing,region_20,Bachelor's,f,sourcing,2,29,,1,0,50,0
17465,Sales & Marketing,region_13,Bachelor's,f,sourcing,1,30,3.0,5,0,52,0
53624,Sales & Marketing,region_7,Master's & above,f,other,1,44,1.0,17,0,52,0
64752,Sales & Marketing,region_26,Bachelor's,m,other,1,45,4.0,15,0,51,0
3352,Sales & Marketing,region_1,Master's & above,m,other,1,40,3.0,8,0,50,0
4626,Finance,region_7,Bachelor's,m,sourcing,1,35,4.0,3,0,60,0
11891,Operations,region_14,Bachelor's,m,sourcing,1,32,3.0,8,0,59,0
76862,Operations,region_2,Bachelor's,m,sourcing,1,26,5.0,3,0,62,0
5043,Procurement,region_7,Master's & above,f,sourcing,1,59,3.0,18,0,70,0
26083,Technology,region_23,Bachelor's,m,sourcing,1,29,5.0,5,0,75,0
57609,Procurement,region_17,Bachelor's,f,other,1,44,3.0,16,0,70,0
43402,Sales & Marketing,region_28,Bachelor's,f,sourcing,1,29,3.0,2,0,53,0
16902,Legal,region_22,Master's & above,m,other,1,35,3.0,7,0,57,0
4597,Procurement,region_7,Master's & above,m,other,1,44,5.0,6,0,71,1
16843,Sales & Marketing,region_31,Bachelor's,m,sourcing,3,27,,1,0,51,0
56799,Technology,region_2,Bachelor's,f,other,1,35,3.0,6,0,76,0
18903,Sales & Marketing,region_32,,m,other,1,32,3.0,7,0,52,0
21290,Analytics,region_22,Master's & above,f,other,1,36,2.0,8,0,81,0
36644,Operations,region_2,Master's & above,m,sourcing,1,55,5.0,8,0,63,0
26042,Technology,region_25,Bachelor's,m,other,1,29,5.0,8,0,81,1
62613,Operations,region_27,Master's & above,m,sourcing,1,42,2.0,4,0,56,0
59714,Sales & Marketing,region_3,Bachelor's,m,other,1,32,3.0,6,0,50,0
49334,Sales & Marketing,region_22,Bachelor's,m,other,1,28,5.0,4,0,49,1
44219,Analytics,region_15,Bachelor's,m,other,1,29,5.0,5,0,86,0
74981,Sales & Marketing,region_24,Master's & above,m,other,1,32,5.0,7,0,46,0
27118,Finance,region_32,Bachelor's,m,other,2,27,5.0,2,0,58,0
52474,Sales & Marketing,region_21,Bachelor's,m,other,1,20,5.0,2,0,51,0
10190,Analytics,region_30,Bachelor's,m,sourcing,1,30,4.0,7,0,82,0
60796,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,30,5.0,6,0,48,0
72852,Sales & Marketing,region_2,,m,sourcing,2,23,,1,0,50,1
31976,Analytics,region_2,Bachelor's,m,sourcing,2,28,5.0,4,0,85,0
27036,Sales & Marketing,region_14,Bachelor's,m,sourcing,1,32,3.0,6,0,48,0
15291,Analytics,region_21,Bachelor's,m,sourcing,1,27,4.0,5,0,80,0
56584,Sales & Marketing,region_29,Bachelor's,m,other,1,29,1.0,8,0,47,0
63776,HR,region_2,Bachelor's,f,other,1,37,3.0,7,0,49,0
70980,Finance,region_2,Master's & above,m,other,1,45,3.0,4,0,64,0
19343,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,35,5.0,2,0,48,0
56512,Sales & Marketing,region_15,Bachelor's,f,other,1,27,5.0,5,0,54,0
57633,Operations,region_2,Bachelor's,m,sourcing,1,32,3.0,7,0,57,0
47137,Sales & Marketing,region_13,Bachelor's,m,other,1,29,3.0,2,0,47,0
66092,Operations,region_12,Master's & above,m,sourcing,1,37,4.0,8,0,58,0
38733,Analytics,region_9,Master's & above,m,sourcing,1,30,,1,0,87,0
60608,R&D,region_26,Master's & above,f,sourcing,1,28,,1,0,82,0
8634,Analytics,region_22,Bachelor's,f,other,1,29,,1,0,80,0
35221,Operations,region_20,Master's & above,m,other,2,44,3.0,9,0,60,0
42010,Sales & Marketing,region_22,Bachelor's,m,other,2,30,4.0,3,0,52,0
44809,Technology,region_10,Master's & above,m,sourcing,2,42,5.0,10,0,80,1
27165,Procurement,region_30,Master's & above,m,other,1,33,3.0,7,0,68,0
48815,Technology,region_4,Bachelor's,f,other,3,35,4.0,4,0,81,0
5108,Technology,region_26,Bachelor's,f,sourcing,1,38,2.0,5,0,79,0
77302,Sales & Marketing,region_3,Master's & above,m,other,3,34,1.0,2,0,49,0
62291,Technology,region_2,Bachelor's,f,sourcing,2,43,4.0,5,0,80,0
12549,Sales & Marketing,region_21,Master's & above,m,other,1,32,2.0,5,0,47,0
44201,Sales & Marketing,region_8,Bachelor's,m,sourcing,2,29,4.0,3,0,44,0
77619,Sales & Marketing,region_23,Master's & above,m,other,1,36,4.0,5,0,50,0
20377,HR,region_29,Bachelor's,m,other,1,28,3.0,4,0,46,0
72144,Analytics,region_25,Bachelor's,m,sourcing,2,30,3.0,4,0,86,0
49394,Analytics,region_30,Bachelor's,m,sourcing,2,28,3.0,5,0,84,0
4785,Sales & Marketing,region_2,,m,other,1,22,4.0,2,0,52,0
69283,Procurement,region_2,Bachelor's,m,sourcing,1,42,4.0,14,0,69,0
44169,Analytics,region_15,Bachelor's,m,sourcing,1,31,4.0,2,0,82,0
16189,Sales & Marketing,region_2,Master's & above,f,other,1,38,1.0,4,0,53,0
63707,Sales & Marketing,region_2,Bachelor's,m,other,3,29,2.0,2,0,51,0
13503,Legal,region_2,Below Secondary,m,other,1,26,,1,0,58,0
37421,Sales & Marketing,region_23,Master's & above,f,other,1,36,4.0,10,0,49,0
62806,Sales & Marketing,region_7,,m,sourcing,1,24,,1,0,53,0
52734,Sales & Marketing,region_18,Bachelor's,m,sourcing,1,34,1.0,5,0,50,0
77648,Operations,region_22,Master's & above,m,sourcing,2,32,4.0,5,0,76,1
47128,Sales & Marketing,region_16,Bachelor's,f,sourcing,2,31,,1,0,50,0
68123,Sales & Marketing,region_13,Master's & above,f,other,1,33,5.0,7,0,51,0
68269,Sales & Marketing,region_7,Master's & above,m,sourcing,1,33,3.0,6,0,47,0
68268,Sales & Marketing,region_17,Master's & above,m,sourcing,1,34,2.0,6,0,44,0
247,HR,region_2,Master's & above,f,other,1,45,3.0,4,0,46,0
31786,Sales & Marketing,region_13,Bachelor's,m,sourcing,1,28,3.0,3,0,52,0
49479,Procurement,region_2,Bachelor's,f,other,1,50,3.0,2,0,63,0
50529,Procurement,region_13,Master's & above,m,sourcing,1,31,4.0,4,0,71,0
55288,Sales & Marketing,region_2,,f,other,1,49,1.0,8,0,50,0
26404,Analytics,region_12,Bachelor's,m,other,2,30,3.0,4,0,84,0
75711,Sales & Marketing,region_4,Master's & above,f,sourcing,1,35,1.0,10,0,48,0
64276,Operations,region_7,Master's & above,f,sourcing,1,37,5.0,8,0,58,0
2262,Sales & Marketing,region_11,Master's & above,m,other,1,34,4.0,8,0,48,0
20163,Technology,region_2,Bachelor's,f,other,1,34,3.0,4,0,79,0
40557,Analytics,region_2,Master's & above,m,sourcing,2,42,5.0,6,0,79,0
73037,Operations,region_22,Bachelor's,m,other,1,29,1.0,4,0,64,0
29035,Procurement,region_2,Master's & above,f,sourcing,1,40,4.0,5,0,68,0
68249,Procurement,region_15,Bachelor's,m,other,1,33,1.0,7,0,67,0
72106,Procurement,region_23,Bachelor's,f,other,1,31,3.0,7,0,66,0
14182,Sales & Marketing,region_14,Bachelor's,m,other,1,39,3.0,8,0,51,0
42606,Operations,region_2,Master's & above,f,sourcing,1,36,4.0,3,0,61,0
28511,Procurement,region_2,Bachelor's,f,sourcing,1,53,5.0,3,0,68,0
68218,Sales & Marketing,region_25,Bachelor's,m,other,1,39,3.0,2,0,45,0
46495,Sales & Marketing,region_31,Bachelor's,m,other,2,46,4.0,3,0,47,0
23489,Operations,region_26,Master's & above,m,other,1,40,4.0,3,0,61,0
71551,Operations,region_19,Bachelor's,m,other,1,42,3.0,6,0,61,0
77849,Technology,region_27,Bachelor's,f,other,1,29,1.0,3,0,86,0
50092,Technology,region_2,Bachelor's,m,sourcing,1,45,2.0,2,0,83,0
10989,Operations,region_2,Bachelor's,f,sourcing,1,29,3.0,6,1,60,0
77138,Analytics,region_13,Bachelor's,m,other,2,30,3.0,5,0,86,0
12618,Sales & Marketing,region_4,Bachelor's,m,other,1,35,1.0,10,0,48,0
62571,Technology,region_10,Bachelor's,m,other,1,30,3.0,3,0,78,0
35865,Sales & Marketing,region_2,Bachelor's,m,other,2,35,5.0,8,0,50,0
63490,Sales & Marketing,region_2,Master's & above,m,other,1,45,2.0,6,0,48,0
11799,Technology,region_2,Bachelor's,f,other,2,32,5.0,4,0,79,0
44623,Sales & Marketing,region_26,Bachelor's,m,sourcing,1,36,4.0,6,0,53,0
16264,Operations,region_7,Master's & above,m,sourcing,1,39,2.0,11,0,61,0
54119,Technology,region_2,Bachelor's,f,sourcing,1,44,4.0,14,0,76,0
11954,Sales & Marketing,region_19,Bachelor's,m,sourcing,2,27,1.0,3,0,52,0
69076,Finance,region_22,Bachelor's,m,other,1,29,5.0,2,0,58,1
76711,Procurement,region_13,Master's & above,f,other,1,43,3.0,8,0,73,0
12510,HR,region_2,Master's & above,m,other,1,47,5.0,17,0,44,0
39786,Operations,region_20,Master's & above,f,sourcing,1,40,1.0,3,0,56,0
65658,Operations,region_15,Bachelor's,m,other,2,27,3.0,4,0,61,0
62277,Analytics,region_29,Bachelor's,m,other,1,27,4.0,4,0,93,0
22642,Technology,region_33,Bachelor's,f,other,1,44,5.0,16,0,76,0
60579,Operations,region_8,Bachelor's,m,sourcing,1,31,5.0,5,0,59,1
32670,Sales & Marketing,region_1,Master's & above,m,other,1,30,2.0,10,0,50,0
74066,Analytics,region_22,Bachelor's,m,referred,2,28,5.0,3,0,83,0
74054,Operations,region_15,Bachelor's,m,other,1,33,5.0,3,0,93,1
73715,Operations,region_4,Bachelor's,m,sourcing,1,41,5.0,5,0,61,1
9631,Analytics,region_6,Bachelor's,m,other,1,28,3.0,5,0,88,0
50538,Operations,region_15,Master's & above,m,sourcing,1,54,5.0,6,0,57,0
67874,Operations,region_28,Master's & above,m,other,2,33,3.0,5,0,63,0
75176,Sales & Marketing,region_2,Bachelor's,f,other,1,35,3.0,2,0,52,0
4222,Technology,region_2,Master's & above,m,sourcing,1,48,3.0,18,0,80,0
25207,Technology,region_22,Bachelor's,f,other,1,33,5.0,2,0,78,0
67542,Technology,region_11,Bachelor's,f,sourcing,1,29,3.0,2,0,76,0
62800,HR,region_2,Bachelor's,m,sourcing,1,30,3.0,7,0,51,0
62042,Sales & Marketing,region_17,Bachelor's,m,sourcing,1,32,5.0,7,0,52,0
19400,Procurement,region_2,,m,sourcing,1,39,3.0,3,0,73,0
20884,Sales & Marketing,region_26,Bachelor's,m,sourcing,1,41,1.0,13,0,49,0
63654,Procurement,region_7,Master's & above,f,other,1,35,3.0,3,0,70,0
66552,Procurement,region_13,Bachelor's,m,other,1,35,4.0,11,0,73,0
32876,Sales & Marketing,region_7,Bachelor's,m,other,1,46,5.0,5,0,54,0
66138,HR,region_2,Master's & above,f,sourcing,1,38,5.0,4,0,46,0
43386,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,29,1.0,5,0,49,0
4178,Analytics,region_7,Bachelor's,m,other,2,29,5.0,7,0,88,0
43374,Analytics,region_22,Master's & above,m,sourcing,1,30,1.0,4,0,82,0
31140,Analytics,region_32,Bachelor's,m,other,1,31,4.0,2,0,82,0
76474,Operations,region_20,Master's & above,f,other,1,43,3.0,15,0,59,0
65777,Sales & Marketing,region_2,Master's & above,m,other,1,60,5.0,31,0,50,0
12334,Operations,region_17,Bachelor's,m,other,3,33,3.0,10,0,59,0
